month,year,quarter,artist,genre,country,region,total_streams,premium_streams,free_streams,premium_revenue_usd,ad_revenue_usd,total_revenue_usd,saves,playlist_adds,skip_rate,popularity_score,artist_trend
2022-07,2022,Q3,Tyla,Afrobeats,Italy,Europe,1939604,1008594,931010,11.4,2302.68,2314.08,92083,63567,0.267,87,Rising
2022-07,2022,Q3,Ariana Grande,Pop,Italy,Europe,7157809,3722060,3435749,36.07,8176.32,8212.39,532296,109006,0.234,100,Stable
2022-07,2022,Q3,Taylor Swift,Pop,Italy,Europe,7852645,4083375,3769270,43.11,5088.11,5131.22,438045,341022,0.284,100,Stable
2022-07,2022,Q3,Stray Kids,K-Pop,Italy,Europe,865263,449936,415327,4.58,858.09,862.67,24464,29115,0.165,67,Declining
2022-07,2022,Q3,Rauw Alejandro,Latin,Italy,Europe,4788890,2490222,2298668,27.69,5406.72,5434.41,198351,146097,0.262,100,Stable
2022-07,2022,Q3,Kendrick Lamar,Hip-Hop,Italy,Europe,3189489,1658534,1530955,18.68,3583.71,3602.39,242005,82656,0.337,100,Rising
2022-07,2022,Q3,Ed Sheeran,Pop,Italy,Europe,10353426,5383781,4969645,46.87,11988.9,12035.77,228171,452427,0.206,100,Rising
2022-07,2022,Q3,Bad Bunny,Latin,Italy,Europe,364452,189515,174937,1.76,175.8,177.56,16379,14261,0.296,94,Stable
2022-07,2022,Q3,Arctic Monkeys,Rock,Italy,Europe,10930743,5683986,5246757,64.01,13382.54,13446.55,595350,413462,0.33,100,Rising
2022-07,2022,Q3,Newjeans,K-Pop,United States,Americas,1080273,626558,453715,6.5,898.68,905.18,71691,18078,0.287,68,Stable
2022-07,2022,Q3,Coldplay,Rock,United States,Americas,5478322,3177426,2300896,38.09,6848.4,6886.49,223415,186126,0.333,76,Stable
2022-07,2022,Q3,Fred Again..,Electronic,United States,Americas,642236,372496,269740,3.79,416.46,420.25,40615,7669,0.256,49,Declining
2022-07,2022,Q3,Asake,Afrobeats,United States,Americas,263798,153002,110796,1.69,228.76,230.45,9512,12257,0.179,51,Rising
2022-07,2022,Q3,Olivia Rodrigo,Pop,United States,Americas,10123124,5871411,4251713,62.75,6580.31,6643.06,282226,432931,0.349,100,Rising
2022-07,2022,Q3,J Balvin,Latin,United States,Americas,651015,377588,273427,4.42,487.81,492.23,48367,21092,0.202,100,Rising
2022-07,2022,Q3,Dua Lipa,Pop,United States,Americas,12603283,7309904,5293379,85.99,10275.42,10361.41,411925,396564,0.339,100,Rising
2022-07,2022,Q3,Rauw Alejandro,Latin,United States,Americas,2856806,1656947,1199859,20.88,1853.9,1874.78,207116,116171,0.178,100,Stable
2022-07,2022,Q3,Doja Cat,Pop,United States,Americas,5614713,3256533,2358180,37.23,2471.9,2509.13,414735,172808,0.206,100,Stable
2022-07,2022,Q3,Olivia Rodrigo,Pop,Brazil,Americas,10721944,4074338,6647606,20.75,18302.26,18323.01,811576,334012,0.284,100,Rising
2022-07,2022,Q3,Tyla,Afrobeats,Brazil,Americas,1203782,457437,746345,2.19,1693.05,1695.24,25387,46825,0.306,88,Rising
2022-07,2022,Q3,Imagine Dragons,Rock,Brazil,Americas,5194823,1974032,3220791,10.67,5076.93,5087.6,204876,193014,0.232,100,Stable
2022-07,2022,Q3,Rauw Alejandro,Latin,Brazil,Americas,11246509,4273673,6972836,22.35,12056.62,12078.97,755383,167145,0.111,100,Stable
2022-07,2022,Q3,H.E.R.,R&B,Brazil,Americas,8263099,3139977,5123122,14.07,5268.91,5282.98,553011,351114,0.124,100,Rising
2022-07,2022,Q3,J Balvin,Latin,Brazil,Americas,5242842,1992279,3250563,10.93,5264.87,5275.8,401512,90100,0.259,100,Rising
2022-07,2022,Q3,Martin Garrix,Electronic,Brazil,Americas,5625057,2137521,3487536,11.95,3570.57,3582.52,280751,135002,0.237,90,Rising
2022-07,2022,Q3,Karol G,Latin,Brazil,Americas,900909,342345,558564,1.67,1253.96,1255.63,29398,21216,0.232,100,Rising
2022-07,2022,Q3,Burna Boy,Afrobeats,Brazil,Americas,3700574,1406218,2294356,6.54,3096.0,3102.54,146262,66527,0.251,82,Rising
2022-07,2022,Q3,Ariana Grande,Pop,Brazil,Americas,11814314,4489439,7324875,25.7,8653.05,8678.75,709268,252069,0.253,100,Stable
2022-07,2022,Q3,Fred Again..,Electronic,Brazil,Americas,2262156,859619,1402537,4.45,1762.23,1766.68,81235,98199,0.168,53,Declining
2022-07,2022,Q3,Tyla,Afrobeats,Mexico,Americas,5931376,2075981,3855395,8.58,10174.24,10182.82,389592,293715,0.082,90,Rising
2022-07,2022,Q3,Drake,Hip-Hop,Mexico,Americas,7789893,2726462,5063431,12.22,15169.66,15181.88,240207,89874,0.154,100,Stable
2022-07,2022,Q3,Calvin Harris,Electronic,Mexico,Americas,1941863,679652,1262211,2.66,2948.36,2951.02,88869,53695,0.098,63,Rising
2022-07,2022,Q3,Bts,K-Pop,Mexico,Americas,1349182,472213,876969,2.0,1352.55,1354.55,51002,58930,0.083,83,Stable
2022-07,2022,Q3,Rema,Afrobeats,Mexico,Americas,4569818,1599436,2970382,6.59,3627.35,3633.94,263513,79834,0.218,78,Rising
2022-07,2022,Q3,Billie Eilish,Pop,Mexico,Americas,10783342,3774169,7009173,15.83,7279.99,7295.82,540469,361590,0.173,100,Declining
2022-07,2022,Q3,Rauw Alejandro,Latin,Mexico,Americas,10839808,3793932,7045876,14.45,11928.68,11943.13,604219,529405,0.345,100,Stable
2022-07,2022,Q3,The Weeknd,R&B/Pop,Mexico,Americas,2842119,994741,1847378,4.51,1939.29,1943.8,121103,130259,0.154,89,Rising
2022-07,2022,Q3,Rauw Alejandro,Latin,Colombia,Americas,521960,156588,365372,0.52,548.71,549.23,29035,9563,0.167,100,Stable
2022-07,2022,Q3,Twenty One Pilots,Rock,Colombia,Americas,6819052,2045715,4773337,6.39,5632.23,5638.62,366885,99220,0.117,89,Stable
2022-07,2022,Q3,J Balvin,Latin,Colombia,Americas,7135312,2140593,4994719,8.18,12600.17,12608.35,255080,141367,0.341,100,Rising
2022-07,2022,Q3,Aespa,K-Pop,Colombia,Americas,4231729,1269518,2962211,3.84,6606.48,6610.32,96669,146032,0.141,81,Rising
2022-07,2022,Q3,Billie Eilish,Pop,Colombia,Americas,5934980,1780494,4154486,6.64,4506.25,4512.89,122687,168094,0.116,100,Declining
2022-07,2022,Q3,H.E.R.,R&B,Colombia,Americas,3832781,1149834,2682947,3.55,2891.66,2895.21,243275,137234,0.156,100,Rising
2022-07,2022,Q3,Wizkid,Afrobeats,Colombia,Americas,4404240,1321272,3082968,4.9,3501.8,3506.7,116666,133690,0.206,100,Rising
2022-07,2022,Q3,Davido,Afrobeats,Colombia,Americas,3547481,1064244,2483237,3.97,5782.64,5786.61,98758,126280,0.288,100,Rising
2022-07,2022,Q3,Post Malone,Hip-Hop,Colombia,Americas,13068046,3920413,9147633,15.51,14887.5,14903.01,608387,190605,0.306,100,Declining
2022-07,2022,Q3,Drake,Hip-Hop,Nigeria,Africa,3585576,645403,2940173,2.04,8371.79,8373.83,144820,107982,0.205,100,Stable
2022-07,2022,Q3,Olivia Rodrigo,Pop,Nigeria,Africa,905203,162936,742267,0.55,2005.31,2005.86,45804,35086,0.296,98,Rising
2022-07,2022,Q3,Newjeans,K-Pop,Nigeria,Africa,1145835,206250,939585,0.55,1272.78,1273.33,82225,29459,0.081,58,Stable
2022-07,2022,Q3,Martin Garrix,Electronic,Nigeria,Africa,1870187,336633,1533554,0.86,1924.06,1924.92,125156,91113,0.166,89,Rising
2022-07,2022,Q3,Ariana Grande,Pop,Nigeria,Africa,2780298,500453,2279845,1.36,5710.88,5712.24,211929,37528,0.231,95,Stable
2022-07,2022,Q3,Aespa,K-Pop,Nigeria,Africa,726241,130723,595518,0.44,883.57,884.01,49306,19843,0.328,69,Rising
2022-07,2022,Q3,H.E.R.,R&B,Nigeria,Africa,957083,172274,784809,0.55,2147.96,2148.51,41162,21569,0.183,100,Rising
2022-07,2022,Q3,Travis Scott,Hip-Hop,Nigeria,Africa,1229144,221245,1007899,0.66,1097.39,1098.05,84874,60960,0.19,100,Declining
2022-07,2022,Q3,Asake,Afrobeats,Nigeria,Africa,1677178,301892,1375286,1.04,2599.6,2600.64,97356,25273,0.278,100,Rising
2022-07,2022,Q3,Calvin Harris,Electronic,Nigeria,Africa,929182,167252,761930,0.45,1451.57,1452.02,67711,24946,0.307,67,Rising
2022-07,2022,Q3,21 Savage,Hip-Hop,South Africa,Africa,307222,86022,221200,0.38,595.18,595.56,11618,12798,0.107,100,Declining
2022-07,2022,Q3,The Weeknd,R&B/Pop,South Africa,Africa,1986572,556240,1430332,2.5,2505.1,2507.6,130063,62000,0.27,94,Rising
2022-07,2022,Q3,Miley Cyrus,Pop,South Africa,Africa,1975115,553032,1422083,2.43,2460.33,2462.76,51378,72977,0.082,100,Stable
2022-07,2022,Q3,J. Cole,Hip-Hop,South Africa,Africa,2482594,695126,1787468,3.03,2254.39,2257.42,193089,87867,0.319,100,Stable
2022-07,2022,Q3,Travis Scott,Hip-Hop,South Africa,Africa,2431708,680878,1750830,2.95,2788.22,2791.17,128152,46095,0.2,100,Declining
2022-07,2022,Q3,Kendrick Lamar,Hip-Hop,South Africa,Africa,3781027,1058687,2722340,4.12,6849.81,6853.93,164829,162790,0.152,100,Rising
2022-07,2022,Q3,Paramore,Rock,South Africa,Africa,344004,96321,247683,0.44,297.56,298.0,15625,7666,0.324,77,Stable
2022-07,2022,Q3,H.E.R.,R&B,South Africa,Africa,734251,205590,528661,0.78,943.61,944.39,26990,34698,0.265,100,Rising
2022-07,2022,Q3,Olivia Rodrigo,Pop,South Africa,Africa,758733,212445,546288,0.82,1453.08,1453.9,22204,32558,0.226,93,Rising
2022-07,2022,Q3,Martin Garrix,Electronic,Kenya,Africa,2170696,325604,1845092,0.88,3967.27,3968.15,58413,57984,0.151,88,Rising
2022-07,2022,Q3,Stray Kids,K-Pop,Kenya,Africa,1653028,247954,1405074,0.6,2370.16,2370.76,72822,66855,0.21,81,Declining
2022-07,2022,Q3,Bts,K-Pop,Kenya,Africa,2093393,314008,1779385,0.85,2265.6,2266.45,85532,101750,0.212,67,Stable
2022-07,2022,Q3,Imagine Dragons,Rock,Kenya,Africa,1768218,265232,1502986,0.74,3535.73,3536.47,71533,56125,0.307,92,Stable
2022-07,2022,Q3,Twenty One Pilots,Rock,Kenya,Africa,630142,94521,535621,0.24,539.41,539.65,47807,15412,0.187,50,Stable
2022-07,2022,Q3,Peso Pluma,Latin,Kenya,Africa,686090,102913,583177,0.23,1410.5,1410.73,48900,25683,0.085,61,Rising
2022-07,2022,Q3,Frank Ocean,R&B,Kenya,Africa,474422,71163,403259,0.17,674.79,674.96,16674,15684,0.34,100,Rising
2022-07,2022,Q3,Brent Faiyaz,R&B,Kenya,Africa,1183216,177482,1005734,0.5,1259.39,1259.89,51561,52129,0.325,100,Rising
2022-07,2022,Q3,Calvin Harris,Electronic,Kenya,Africa,438804,65820,372984,0.16,710.18,710.34,11460,5670,0.205,64,Rising
2022-07,2022,Q3,Martin Garrix,Electronic,Ghana,Africa,213476,29886,183590,0.08,384.88,384.96,16478,3674,0.276,100,Rising
2022-07,2022,Q3,Tyla,Afrobeats,Ghana,Africa,6464532,905034,5559498,2.09,8036.24,8038.33,260257,191440,0.166,100,Rising
2022-07,2022,Q3,Miley Cyrus,Pop,Ghana,Africa,2406699,336937,2069762,0.68,2262.23,2262.91,64156,57154,0.24,83,Stable
2022-07,2022,Q3,Peso Pluma,Latin,Ghana,Africa,108278,15158,93120,0.03,109.33,109.36,4027,4467,0.121,70,Rising
2022-07,2022,Q3,Olivia Rodrigo,Pop,Ghana,Africa,707007,98980,608027,0.21,1210.61,1210.82,35419,7728,0.176,100,Rising
2022-07,2022,Q3,Blackpink,K-Pop,Ghana,Africa,453788,63530,390258,0.14,425.04,425.18,30433,16857,0.208,100,Rising
2022-07,2022,Q3,Frank Ocean,R&B,Ghana,Africa,2081747,291444,1790303,0.73,4507.67,4508.4,74834,33398,0.269,100,Rising
2022-07,2022,Q3,Brent Faiyaz,R&B,Ghana,Africa,1644212,230189,1414023,0.58,4100.54,4101.12,112362,41272,0.293,100,Rising
2022-07,2022,Q3,Wizkid,Afrobeats,Ghana,Africa,3035463,424964,2610499,0.85,6987.85,6988.7,216521,131258,0.296,100,Rising
2022-07,2022,Q3,Lil Baby,Hip-Hop,Ghana,Africa,479920,67188,412732,0.15,443.68,443.83,36026,7479,0.229,98,Declining
2022-07,2022,Q3,Harry Styles,Pop,Japan,Asia,2179569,1307741,871828,12.79,1870.93,1883.72,103535,45949,0.205,100,Stable
2022-07,2022,Q3,Asake,Afrobeats,Japan,Asia,1931312,1158787,772525,12.35,1878.28,1890.63,141142,44006,0.183,60,Rising
2022-07,2022,Q3,Newjeans,K-Pop,Japan,Asia,7952359,4771415,3180944,49.84,3961.61,4011.45,551472,240047,0.319,100,Stable
2022-07,2022,Q3,Olivia Rodrigo,Pop,Japan,Asia,846299,507779,338520,4.61,611.35,615.96,17765,36045,0.177,100,Rising
2022-07,2022,Q3,Wizkid,Afrobeats,Japan,Asia,1985004,1191002,794002,12.19,1475.77,1487.96,46175,33230,0.203,100,Rising
2022-07,2022,Q3,Bts,K-Pop,Japan,Asia,13778088,8266852,5511236,90.19,12451.44,12541.63,932892,568619,0.176,100,Stable
2022-07,2022,Q3,Peso Pluma,Latin,Japan,Asia,5134743,3080845,2053898,25.53,2170.9,2196.43,375086,205008,0.348,83,Rising
2022-07,2022,Q3,Dua Lipa,Pop,Japan,Asia,6229114,3737468,2491646,33.44,5565.76,5599.2,324201,116676,0.124,100,Rising
2022-07,2022,Q3,Brent Faiyaz,R&B,Japan,Asia,3850860,2310516,1540344,20.49,4044.65,4065.14,104372,154969,0.106,58,Rising
2022-07,2022,Q3,Rema,Afrobeats,Japan,Asia,2945509,1767305,1178204,17.13,2997.71,3014.84,222917,60221,0.17,79,Rising
2022-07,2022,Q3,Burna Boy,Afrobeats,Japan,Asia,309378,185626,123752,2.01,260.29,262.3,14876,15276,0.23,87,Rising
2022-07,2022,Q3,Frank Ocean,R&B,Japan,Asia,1990428,1194256,796172,12.86,2383.32,2396.18,84621,67595,0.311,64,Rising
2022-07,2022,Q3,Calvin Harris,Electronic,South Korea,Asia,6322681,3477474,2845207,26.82,4374.38,4401.2,373819,97283,0.22,100,Rising
2022-07,2022,Q3,Paramore,Rock,South Korea,Asia,2199027,1209464,989563,10.72,1966.15,1976.87,119470,72078,0.191,62,Stable
2022-07,2022,Q3,Newjeans,K-Pop,South Korea,Asia,3629155,1996035,1633120,14.82,2057.63,2072.45,180734,95425,0.269,100,Stable
2022-07,2022,Q3,Bad Bunny,Latin,South Korea,Asia,471351,259243,212108,2.15,485.47,487.62,29621,10230,0.167,86,Stable
2022-07,2022,Q3,Bts,K-Pop,South Korea,Asia,18380886,10109487,8271399,92.76,8905.11,8997.87,546580,840037,0.096,100,Stable
2022-07,2022,Q3,Twenty One Pilots,Rock,South Korea,Asia,3269986,1798492,1471494,15.91,3639.74,3655.65,107702,84927,0.217,64,Stable
2022-07,2022,Q3,Coldplay,Rock,South Korea,Asia,3059144,1682529,1376615,15.24,2800.82,2816.06,74838,130512,0.314,59,Stable
2022-07,2022,Q3,Dua Lipa,Pop,South Korea,Asia,1128179,620498,507681,4.6,560.67,565.27,23256,12281,0.082,100,Rising
2022-07,2022,Q3,Imagine Dragons,Rock,India,Asia,4178031,919166,3258865,1.56,8922.54,8924.1,132512,48879,0.123,79,Stable
2022-07,2022,Q3,Disclosure,Electronic,India,Asia,6149779,1352951,4796828,2.74,11654.91,11657.65,391656,225460,0.315,100,Rising
2022-07,2022,Q3,Travis Scott,Hip-Hop,India,Asia,1749810,384958,1364852,0.7,2519.62,2520.32,123845,64407,0.278,100,Declining
2022-07,2022,Q3,Tyla,Afrobeats,India,Asia,2351029,517226,1833803,0.94,3582.5,3583.44,65722,60663,0.128,85,Rising
2022-07,2022,Q3,Paramore,Rock,India,Asia,167156,36774,130382,0.08,281.09,281.17,8632,2743,0.273,72,Stable
2022-07,2022,Q3,Blackpink,K-Pop,India,Asia,18234771,4011649,14223122,9.04,19739.64,19748.68,541578,357791,0.219,100,Rising
2022-07,2022,Q3,Newjeans,K-Pop,India,Asia,4401146,968252,3432894,1.82,9764.05,9765.87,261442,120829,0.293,100,Stable
2022-07,2022,Q3,Miley Cyrus,Pop,India,Asia,750215,165047,585168,0.37,777.97,778.34,16901,21127,0.296,100,Stable
2022-07,2022,Q3,Harry Styles,Pop,India,Asia,8799294,1935844,6863450,3.39,14944.32,14947.71,586945,120841,0.127,100,Stable
2022-07,2022,Q3,Peso Pluma,Latin,India,Asia,272494,59948,212546,0.12,436.46,436.58,11358,9548,0.088,92,Rising
2022-07,2022,Q3,The Weeknd,R&B/Pop,India,Asia,6274667,1380426,4894241,2.77,14233.73,14236.5,465208,261087,0.19,100,Rising
2022-07,2022,Q3,H.E.R.,R&B,Indonesia,Asia,3675464,735092,2940372,1.97,8295.45,8297.42,76779,155707,0.333,72,Rising
2022-07,2022,Q3,Billie Eilish,Pop,Indonesia,Asia,3207522,641504,2566018,1.73,6294.98,6296.71,199153,123986,0.203,100,Declining
2022-07,2022,Q3,Newjeans,K-Pop,Indonesia,Asia,1978967,395793,1583174,1.08,4549.33,4550.41,134940,53564,0.251,100,Stable
2022-07,2022,Q3,Disclosure,Electronic,Indonesia,Asia,2613321,522664,2090657,1.17,2091.32,2092.49,164885,37746,0.146,100,Rising
2022-07,2022,Q3,Kendrick Lamar,Hip-Hop,Indonesia,Asia,4837857,967571,3870286,2.48,6579.79,6582.27,225656,60826,0.295,93,Rising
2022-07,2022,Q3,Dua Lipa,Pop,Indonesia,Asia,2342422,468484,1873938,1.31,4466.79,4468.1,63941,29518,0.343,100,Rising
2022-07,2022,Q3,21 Savage,Hip-Hop,Indonesia,Asia,3437354,687470,2749884,1.95,8225.17,8227.12,219405,65655,0.108,61,Declining
2022-07,2022,Q3,Peso Pluma,Latin,Indonesia,Asia,1652740,330548,1322192,0.75,3753.98,3754.73,123783,81921,0.316,94,Rising
2022-07,2022,Q3,Martin Garrix,Electronic,Indonesia,Asia,6417355,1283471,5133884,3.42,12180.14,12183.56,250832,109557,0.108,100,Rising
2022-07,2022,Q3,Aespa,K-Pop,Indonesia,Asia,9455804,1891160,7564644,4.03,14612.95,14616.98,324550,355478,0.233,100,Rising
2022-07,2022,Q3,Calvin Harris,Electronic,Argentina,Latam,1279185,409339,869846,1.3,2212.31,2213.61,65333,48833,0.32,69,Rising
2022-07,2022,Q3,Drake,Hip-Hop,Argentina,Latam,2317480,741593,1575887,2.25,4284.92,4287.17,174915,99768,0.17,100,Stable
2022-07,2022,Q3,Rema,Afrobeats,Argentina,Latam,406315,130020,276295,0.38,654.2,654.58,8607,5973,0.308,42,Rising
2022-07,2022,Q3,H.E.R.,R&B,Argentina,Latam,282303,90336,191967,0.34,388.16,388.5,21124,13751,0.309,62,Rising
2022-07,2022,Q3,Burna Boy,Afrobeats,Argentina,Latam,612105,195873,416232,0.7,871.19,871.89,27746,21268,0.2,37,Rising
2022-07,2022,Q3,Bad Bunny,Latin,Argentina,Latam,3944810,1262339,2682471,4.01,6022.65,6026.66,116324,175244,0.201,100,Stable
2022-07,2022,Q3,Karol G,Latin,Argentina,Latam,10977720,3512870,7464850,12.12,9724.62,9736.74,287590,361324,0.188,100,Rising
2022-07,2022,Q3,Davido,Afrobeats,Argentina,Latam,829669,265494,564175,0.79,1438.33,1439.12,63724,11629,0.122,55,Rising
2022-07,2022,Q3,Paramore,Rock,Argentina,Latam,386439,123660,262779,0.35,771.2,771.55,30598,12356,0.099,65,Stable
2022-07,2022,Q3,Harry Styles,Pop,Argentina,Latam,2520757,806642,1714115,2.45,4366.47,4368.92,130376,118774,0.196,100,Stable
2022-07,2022,Q3,Martin Garrix,Electronic,Argentina,Latam,392596,125630,266966,0.47,442.7,443.17,28720,17236,0.137,99,Rising
2022-07,2022,Q3,Olivia Rodrigo,Pop,Argentina,Latam,2873100,919392,1953708,2.64,3517.53,3520.17,156915,126981,0.343,92,Rising
2022-07,2022,Q3,The Weeknd,R&B/Pop,Chile,Latam,556224,189116,367108,0.57,643.72,644.29,34348,11182,0.339,84,Rising
2022-07,2022,Q3,Coldplay,Rock,Chile,Latam,1874483,637324,1237159,2.09,3182.67,3184.76,122116,34403,0.133,60,Stable
2022-07,2022,Q3,Sza,R&B,Chile,Latam,1257468,427539,829929,1.47,2035.72,2037.19,32357,32494,0.345,79,Stable
2022-07,2022,Q3,Bad Bunny,Latin,Chile,Latam,7222392,2455613,4766779,8.93,9754.58,9763.51,534086,282137,0.218,100,Stable
2022-07,2022,Q3,Burna Boy,Afrobeats,Chile,Latam,372640,126697,245943,0.4,348.42,348.82,10256,6552,0.089,42,Rising
2022-07,2022,Q3,J. Cole,Hip-Hop,Chile,Latam,134620,45770,88850,0.18,146.25,146.43,6438,3581,0.12,100,Stable
2022-07,2022,Q3,Paramore,Rock,Chile,Latam,1297727,441227,856500,1.64,1990.42,1992.06,60311,47814,0.089,71,Stable
2022-07,2022,Q3,Miley Cyrus,Pop,Chile,Latam,597271,203072,394199,0.65,1030.87,1031.52,13875,7637,0.199,88,Stable
2022-07,2022,Q3,Davido,Afrobeats,Chile,Latam,1107453,376534,730919,1.21,931.28,932.49,78567,38383,0.13,46,Rising
2022-07,2022,Q3,Billie Eilish,Pop,Chile,Latam,3036348,1032358,2003990,3.12,3407.54,3410.66,82346,33883,0.11,99,Declining
2022-08,2022,Q3,Fred Again..,Electronic,Netherlands,Europe,2758151,1875542,882609,20.19,1407.02,1427.21,125752,48097,0.11,100,Declining
2022-08,2022,Q3,Miley Cyrus,Pop,Netherlands,Europe,1094731,744417,350314,8.54,404.0,412.54,52965,46069,0.293,100,Stable
2022-08,2022,Q3,Asake,Afrobeats,Netherlands,Europe,1057356,719002,338354,7.39,997.43,1004.82,41927,49617,0.153,64,Rising
2022-08,2022,Q3,Wizkid,Afrobeats,Netherlands,Europe,5375153,3655104,1720049,39.75,3892.97,3932.72,209983,103672,0.317,100,Rising
2022-08,2022,Q3,Disclosure,Electronic,Netherlands,Europe,7738695,5262312,2476383,54.27,2984.46,3038.73,550485,263538,0.339,100,Rising
2022-08,2022,Q3,Brent Faiyaz,R&B,Netherlands,Europe,928068,631086,296982,6.22,389.79,396.01,71880,38189,0.279,72,Rising
2022-08,2022,Q3,J Balvin,Latin,Netherlands,Europe,2483259,1688616,794643,15.04,1864.85,1879.89,138487,54081,0.084,63,Rising
2022-08,2022,Q3,Ed Sheeran,Pop,Netherlands,Europe,10804979,7347385,3457594,75.24,6244.66,6319.9,829715,214596,0.297,100,Rising
2022-08,2022,Q3,Paramore,Rock,Netherlands,Europe,4509172,3066236,1442936,32.96,3039.98,3072.94,188201,110934,0.317,100,Stable
2022-08,2022,Q3,Billie Eilish,Pop,Netherlands,Europe,4363376,2967095,1396281,26.83,2582.13,2608.96,189882,133239,0.299,100,Declining
2022-08,2022,Q3,Frank Ocean,R&B,Netherlands,Europe,1440574,979590,460984,10.09,864.24,874.33,99955,67639,0.253,96,Rising
2022-08,2022,Q3,Coldplay,Rock,Netherlands,Europe,4033569,2742826,1290743,24.84,1952.95,1977.79,93578,196096,0.31,100,Stable
2022-08,2022,Q3,Disclosure,Electronic,United Kingdom,Europe,1002416,651570,350846,6.1,827.65,833.75,39023,41800,0.115,100,Rising
2022-08,2022,Q3,Davido,Afrobeats,United Kingdom,Europe,3756367,2441638,1314729,27.31,2843.34,2870.65,154422,72512,0.247,94,Rising
2022-08,2022,Q3,Ed Sheeran,Pop,United Kingdom,Europe,10805462,7023550,3781912,73.01,7131.71,7204.72,534529,403034,0.107,100,Rising
2022-08,2022,Q3,Fred Again..,Electronic,United Kingdom,Europe,1631892,1060729,571163,10.49,685.72,696.21,65547,41072,0.206,100,Declining
2022-08,2022,Q3,Sza,R&B,United Kingdom,Europe,4204625,2733006,1471619,25.43,3281.52,3306.95,330614,60767,0.137,85,Stable
2022-08,2022,Q3,Aespa,K-Pop,United Kingdom,Europe,2095144,1361843,733301,14.09,1510.0,1524.09,137728,24232,0.333,70,Rising
2022-08,2022,Q3,Billie Eilish,Pop,United Kingdom,Europe,8050794,5233016,2817778,45.86,3457.0,3502.86,177040,114162,0.137,100,Declining
2022-08,2022,Q3,Rauw Alejandro,Latin,United Kingdom,Europe,1913474,1243758,669716,11.35,1171.67,1183.02,39165,72228,0.167,97,Stable
2022-08,2022,Q3,Newjeans,K-Pop,United Kingdom,Europe,3773676,2452889,1320787,26.88,3914.09,3940.97,168542,152968,0.107,76,Stable
2022-08,2022,Q3,Rema,Afrobeats,United Kingdom,Europe,2162773,1405802,756971,12.65,1954.95,1967.6,127392,70923,0.125,84,Rising
2022-08,2022,Q3,Doja Cat,Pop,United Kingdom,Europe,10718021,6966713,3751308,60.79,10389.06,10449.85,738826,372101,0.335,100,Stable
2022-08,2022,Q3,Wizkid,Afrobeats,Germany,Europe,1167489,817242,350247,7.46,642.95,650.41,43791,47405,0.286,97,Rising
2022-08,2022,Q3,Kendrick Lamar,Hip-Hop,Germany,Europe,2129886,1490920,638966,14.57,1163.35,1177.92,168907,61323,0.149,100,Rising
2022-08,2022,Q3,Nicki Minaj,Hip-Hop,Germany,Europe,5939522,4157665,1781857,40.67,5182.94,5223.61,192104,133445,0.163,100,Stable
2022-08,2022,Q3,Davido,Afrobeats,Germany,Europe,4422760,3095932,1326828,34.54,2197.09,2231.63,200670,162665,0.085,100,Rising
2022-08,2022,Q3,Stray Kids,K-Pop,Germany,Europe,2438172,1706720,731452,16.41,1407.31,1423.72,50575,63333,0.204,79,Declining
2022-08,2022,Q3,Travis Scott,Hip-Hop,Germany,Europe,2811417,1967991,843426,22.43,1080.13,1102.56,155308,50715,0.293,100,Declining
2022-08,2022,Q3,Post Malone,Hip-Hop,Germany,Europe,3026438,2118506,907932,19.23,2021.02,2040.25,239506,137085,0.338,100,Declining
2022-08,2022,Q3,Ed Sheeran,Pop,Germany,Europe,9820406,6874284,2946122,68.68,7620.02,7688.7,284882,357357,0.167,100,Rising
2022-08,2022,Q3,Miley Cyrus,Pop,Germany,Europe,2788890,1952222,836668,16.97,1924.85,1941.82,75872,28520,0.094,100,Stable
2022-08,2022,Q3,Olivia Rodrigo,Pop,Germany,Europe,3496978,2447884,1049094,22.64,1735.6,1758.24,182637,64564,0.299,100,Rising
2022-08,2022,Q3,The Weeknd,R&B/Pop,Sweden,Europe,705291,507809,197482,5.77,330.72,336.49,40897,8469,0.244,88,Rising
2022-08,2022,Q3,Newjeans,K-Pop,Sweden,Europe,3855343,2775846,1079497,27.21,2894.97,2922.18,88706,99715,0.18,67,Stable
2022-08,2022,Q3,Arctic Monkeys,Rock,Sweden,Europe,6176359,4446978,1729381,40.55,4201.31,4241.86,318934,284326,0.164,100,Rising
2022-08,2022,Q3,Aespa,K-Pop,Sweden,Europe,1872546,1348233,524313,14.36,998.01,1012.37,39223,80443,0.317,76,Rising
2022-08,2022,Q3,Dua Lipa,Pop,Sweden,Europe,4470725,3218922,1251803,29.92,3099.24,3129.16,123846,112992,0.238,100,Rising
2022-08,2022,Q3,Fred Again..,Electronic,Sweden,Europe,1588027,1143379,444648,12.87,914.25,927.12,70942,32954,0.35,100,Declining
2022-08,2022,Q3,Davido,Afrobeats,Sweden,Europe,3550177,2556127,994050,28.31,1233.42,1261.73,97159,115778,0.153,91,Rising
2022-08,2022,Q3,Calvin Harris,Electronic,Sweden,Europe,8219176,5917806,2301370,52.79,6228.21,6281.0,516987,309218,0.228,100,Rising
